mse,psnr,ssim,masked_mse,masked_psnr,masked_ssim,key,stage
1.9359481484571006e-07,67.13106278815086,0.9999735951423645,0.0007188303279690444,31.433736079796653,0.9999796748161316,food_kiwi_01_8k_view06,final
9.025135113915894e-06,50.445462876174446,0.9997414946556091,,,,food_kiwi_01_8k_view06,corrupted
0.010872823186218739,19.636576744048302,0.9146834015846252,,,,food_kiwi_01_8k_view06,inpainted
2.091703890982899e-06,56.79499795719758,0.9988762736320496,0.0007010874105617404,31.542278314513062,0.9997107982635498,food_kiwi_01_8k_view07,final
0.00010661405394785106,39.72185542498044,0.9955123066902161,,,,food_kiwi_01_8k_view07,corrupted
0.011483133770525455,19.399395759168904,0.907899796962738,,,,food_kiwi_01_8k_view07,inpainted
2.1407691747299396e-05,46.694301573413966,0.9925934672355652,0.0012281257659196854,29.107571570969768,0.9945376515388489,food_kiwi_01_8k_view08,final
0.001169163384474814,29.321247942122607,0.9804485440254211,,,,food_kiwi_01_8k_view08,corrupted
0.00721971457824111,21.414799713424255,0.9308042526245117,,,,food_kiwi_01_8k_view08,inpainted
3.982221460319124e-05,43.998745915411206,0.9872161746025085,0.0011926849838346243,29.234742485744896,0.9905378222465515,food_kiwi_01_8k_view09,final
0.00214954256080091,26.676539514597497,0.9642189145088196,,,,food_kiwi_01_8k_view09,corrupted
0.00751818111166358,21.23887216418337,0.9216324687004089,,,,food_kiwi_01_8k_view09,inpainted
4.770310260937549e-05,43.21453373531974,0.9832208752632141,0.0010623442940413952,29.73734710401431,0.9883309006690979,food_kiwi_01_8k_view10,final
0.0026419246569275856,25.780795718642505,0.9481727480888367,,,,food_kiwi_01_8k_view10,corrupted
0.00724973576143384,21.396778223176277,0.9159241318702698,,,,food_kiwi_01_8k_view10,inpainted
3.690732046379708e-05,44.32887484200972,0.986061155796051,0.00092480139574036,30.339515234716874,0.9911473393440247,food_kiwi_01_8k_view11,final
0.002197153167799115,26.581396665154067,0.9531435966491699,,,,food_kiwi_01_8k_view11,corrupted
0.006465509068220854,21.893972748338104,0.9227173924446106,,,,food_kiwi_01_8k_view11,inpainted
1.8102424292010255e-05,47.42263260150722,0.9932558536529541,0.0008489374886266887,30.711242877819515,0.9969748854637146,food_kiwi_01_8k_view12,final
0.0011733226710930467,29.30582537752748,0.9725459218025208,,,,food_kiwi_01_8k_view12,corrupted
0.006413738708943129,21.928887368889676,0.9250363707542419,,,,food_kiwi_01_8k_view12,inpainted
