mse,psnr,ssim,masked_mse,masked_psnr,masked_ssim,key,stage
2.3429020075127482e-05,46.30245875503106,0.9995411038398743,,,,food_kiwi_01_8k_view10,corrupted
0.007218771148473024,21.415367260950614,0.9420526623725891,,,,food_kiwi_01_8k_view10,inpainted
6.41293581793434e-06,51.92943106575267,0.9977318644523621,0.0007227337919175625,31.41021639068849,0.9986854195594788,food_kiwi_01_8k_view11,final
0.00031035111169330776,35.08146694611098,0.9893255233764648,,,,food_kiwi_01_8k_view11,corrupted
0.0064772628247737885,21.88608480430565,0.9381317496299744,,,,food_kiwi_01_8k_view11,inpainted
7.68143218010664e-06,51.14557799508865,0.9972281455993652,0.0007599643431603909,31.192067839454758,0.9981017112731934,food_kiwi_01_8k_view12,final
0.00035832554567605257,34.45722229091303,0.9875571727752686,,,,food_kiwi_01_8k_view12,corrupted
0.006384832318872213,21.948505038735124,0.9370668530464172,,,,food_kiwi_01_8k_view12,inpainted
1.6274087784040603e-06,57.88503345706658,0.999476432800293,0.0005771008436568081,32.387482908009744,0.9997602105140686,food_kiwi_01_8k_view13,final
9.901777957566082e-05,40.0428681673257,0.9966500401496887,,,,food_kiwi_01_8k_view13,corrupted
0.006748755928128958,21.70776278034861,0.9440430998802185,,,,food_kiwi_01_8k_view13,inpainted
2.6743266516859876e-06,55.72785547574951,0.9983609318733215,0.0004530019941739738,33.438998861619,0.9990411400794983,food_kiwi_01_8k_view14,final
0.00019720611453521997,37.05079623534073,0.9922974109649658,,,,food_kiwi_01_8k_view14,corrupted
0.00677385414019227,21.691641591516237,0.9392669796943665,,,,food_kiwi_01_8k_view14,inpainted
5.325754955265438e-06,52.73618819876855,0.9975249171257019,0.0007505333051085472,31.246300310637093,0.9990437030792236,food_kiwi_01_8k_view15,final
0.00022594333859160542,36.46000458296284,0.9899570345878601,,,,food_kiwi_01_8k_view15,corrupted
0.006942294538021088,21.584969646312295,0.9389827847480774,,,,food_kiwi_01_8k_view15,inpainted
8.754436748859007e-06,50.577717907263356,0.9960451722145081,0.0006472570821642876,31.889231888992043,0.9982989430427551,food_kiwi_01_8k_view16,final
0.00045600056182593107,33.41034622252777,0.9827559590339661,,,,food_kiwi_01_8k_view16,corrupted
0.01142057403922081,19.423120663353124,0.9019858837127686,,,,food_kiwi_01_8k_view16,inpainted
2.8671590825979365e-06,55.42548209816772,0.9984274506568909,0.00044338603038340807,33.53217994178169,0.9993775486946106,food_kiwi_01_8k_view17,final
0.0002138907293556258,36.69808038602607,0.9915749430656433,,,,food_kiwi_01_8k_view17,corrupted
0.011367916129529476,19.443191392164863,0.906504213809967,,,,food_kiwi_01_8k_view17,inpainted
4.2049773583130445e-06,53.76236338317003,0.99826580286026,0.0005651028477586806,32.47872504128815,0.9988510012626648,food_kiwi_01_8k_view18,final
0.000250061770202592,36.01952698749858,0.9919183254241943,,,,food_kiwi_01_8k_view18,corrupted
